Domestic Consumption,Ending Stocks,Balance,Stocks-to-use
112344,7500,0.06675923947874386,6.675923947874386
113000,8500,0.0752212389380531,7.52212389380531
10100,1275,0.12623762376237624,12.623762376237623
10500,1700,0.1619047619047619,16.19047619047619
9600,1215,0.1265625,12.65625
11100,2065,0.18603603603603602,18.603603603603602
11200,1995,0.178125,17.8125
17400,4336,0.24919540229885057,24.919540229885058
18200,5086,0.2794505494505494,27.94505494505494
18100,4486,0.2478453038674033,24.78453038674033
17300,3586,0.20728323699421966,20.728323699421967
17300,3586,0.20728323699421966,20.728323699421967
7000,1097,0.15671428571428572,15.671428571428573
6550,623,0.0951145038167939,9.51145038167939
6700,1109,0.1655223880597015,16.55223880597015
7200,1909,0.26513888888888887,26.513888888888886
7500,2209,0.2945333333333333,29.453333333333333
1750,603,0.3445714285714286,34.457142857142856
1850,890,0.4810810810810811,48.10810810810811
1900,1020,0.5368421052631579,53.68421052631579
1900,1015,0.5342105263157895,53.421052631578945
1910,1110,0.581151832460733,58.1151832460733
216,0,0.0,0.0
180,0,0.0,0.0
198,0,0.0,0.0
240,0,0.0,0.0
220,0,0.0,0.0
6250,1043,0.16688,16.688
6300,1176,0.18666666666666668,18.666666666666668
6250,1142,0.18272,18.272
6150,1132,0.1840650406504065,18.40650406504065
6100,1192,0.19540983606557377,19.540983606557376
915,626,0.6841530054644809,68.4153005464481
935,629,0.6727272727272727,67.27272727272727
955,620,0.6492146596858639,64.92146596858639
975,600,0.6153846153846154,61.53846153846154
995,662,0.6653266331658292,66.53266331658291
6250,1475,0.236,23.599999999999998
6200,1491,0.24048387096774193,24.048387096774192
6750,3271,0.4845925925925926,48.459259259259255
6250,2632,0.42112,42.112
6450,2182,0.33829457364341087,33.82945736434109
2600,366,0.14076923076923076,14.076923076923077
2350,298,0.12680851063829787,12.680851063829786
2450,404,0.16489795918367348,16.48979591836735
2550,564,0.2211764705882353,22.11764705882353
2600,574,0.22076923076923077,22.076923076923077
165,0,0.0,0.0
115,0,0.0,0.0
165,0,0.0,0.0
205,0,0.0,0.0
185,0,0.0,0.0
3550,1540,0.43380281690140843,43.38028169014084
4641,1582,0.34087481146304677,34.087481146304675
4102,1618,0.3944417357386641,39.44417357386641
4250,1770,0.4164705882352941,41.647058823529406
4000,1750,0.4375,43.75
452,0,0.0,0.0
440,0,0.0,0.0
476,0,0.0,0.0
500,0,0.0,0.0
520,0,0.0,0.0
800,151,0.18875,18.875
785,104,0.13248407643312102,13.248407643312103
825,222,0.2690909090909091,26.90909090909091
835,177,0.2119760479041916,21.19760479041916
845,212,0.25088757396449707,25.088757396449708
860,60,0.06976744186046512,6.976744186046512
840,48,0.05714285714285714,5.714285714285714
790,31,0.039240506329113925,3.9240506329113924
800,21,0.02625,2.625
830,31,0.03734939759036145,3.734939759036145
82,0,0.0,0.0
81,0,0.0,0.0
81,0,0.0,0.0
81,0,0.0,0.0
81,0,0.0,0.0
31,0,0.0,0.0
69,0,0.0,0.0
41,0,0.0,0.0
150,0,0.0,0.0
160,0,0.0,0.0
1570,214,0.13630573248407643,13.630573248407643
1500,107,0.07133333333333333,7.133333333333333
1600,285,0.178125,17.8125
1700,385,0.22647058823529412,22.647058823529413
1750,435,0.24857142857142858,24.857142857142858
372,0,0.0,0.0
